#Parameters = {ApertureA=7300; ApertureB=6000; Horn_Height=7300; ProbeHeight=1333; ProbeL=2000; ProbeR=23.5; ProbeRin=69.2; ProbeRout=72; R=10000; Thickness=3; WGH=3200; WGL=3000; WGW=2000}
#"Frequency / GHz"	"S1,1 (1) [Magnitude / dB]"
#---------------------------------------------
0.065750002861023	-20.320995646494
0.065800003707409	-20.516689303984
0.065849997103214	-20.716563702742
0.065899997949600	-20.920680910353
0.065949998795986	-21.129088595609
0.065999999642372	-21.341819083412
0.066050000488758	-21.558883931492
0.066100001335144	-21.780272472556
0.066150002181530	-22.005944245749
0.066200003027916	-22.235826558254
0.066249996423721	-22.469806830483
0.066299997270107	-22.707723187974
0.066349998116493	-22.949359218325
0.066399998962879	-23.194435347546
0.066449999809265	-23.442591979293
0.066500000655651	-23.693382328907
0.066550001502037	-23.946254784999
0.066600002348423	-24.200543818304
0.066650003194809	-24.455448970915
0.066699996590614	-24.710017382329
0.066749997437000	-24.963131958724
0.066799998283386	-25.213492452772
0.066849999129772	-25.459606340971
0.066899999976158	-25.699778162664
0.066950000822544	-25.932110997756
0.067000001668930	-26.154520316450
0.067050002515316	-26.364748155097
0.067100003361702	-26.560407288550
0.067149996757507	-26.739041121767
0.067199997603893	-26.898190098682
0.067249998450279	-27.035489179711
0.067299999296665	-27.148768658683
0.067350000143051	-27.236158718071
0.067400000989437	-27.296195679787
0.067450001835823	-27.327909560856
0.067500002682209	-27.330877277003
0.067550003528595	-27.305253894351
0.067599996924400	-27.251755335285
0.067649997770786	-27.171615413880
0.067699998617172	-27.066505429577
0.067749999463558	-26.938437623117
0.067800000309944	-26.789661313451
0.067850001156330	-26.622551030292
0.067900002002716	-26.439517512377
0.067950002849102	-26.242926377237
0.068000003695488	-26.035035515988
0.068049997091293	-25.817945338480
0.068099997937679	-25.593583624655
0.068149998784065	-25.363678465019
0.068199999630451	-25.129764407183
0.068250000476837	-24.893183592681
0.068300001323223	-24.655097713365
0.068350002169609	-24.416500738971
0.068400003015995	-24.178240973465
0.068449996411800	-23.941030184084
0.068499997258186	-23.705464919199
0.068549998104572	-23.472035878576
0.068599998950958	-23.241152665377
0.068649999797344	-23.013145056953
0.068700000643730	-22.788279371574
0.068750001490116	-22.566773055376
0.068800002336502	-22.348792972811
0.068850003182888	-22.134469700114
0.068899996578693	-21.923904040470
0.068949997425079	-21.717169359435
0.068999998271465	-21.514317606017
0.069049999117851	-21.315385400001
0.069099999964237	-21.120389863388
0.069150000810623	-20.929341474596
0.069200001657009	-20.742238290457
0.069250002503395	-20.559071978847
0.069300003349781	-20.379826159506
0.069349996745586	-20.204481254752
0.069399997591972	-20.033010821652
0.069449998438358	-19.865390006075
0.069499999284744	-19.701586198796
0.069550000131130	-19.541566636190
0.069600000977516	-19.385296801223
0.069650001823902	-19.232740889825
0.069700002670288	-19.083862445934
0.069750003516674	-18.938620653640
0.069799996912479	-18.796978340939
0.069849997758865	-18.658895832480
0.069899998605251	-18.524330020865
0.069949999451637	-18.393240931914
0.070000000298023	-18.265585372686
0.070050001144409	-18.141321426815
0.070100001990795	-18.020404920536
0.070150002837181	-17.902792237961
0.070200003683567	-17.788439027769
0.070249997079372	-17.677298773039
0.070299997925758	-17.569328248542
0.070349998772144	-17.464478998130
0.070399999618530	-17.362706597513
0.070450000464916	-17.263962762747
0.070500001311302	-17.168200315456
0.070550002157688	-17.075372443729
0.070600003004074	-16.985432208925
0.070649996399879	-16.898329133524
0.070699997246265	-16.814018646030
0.070749998092651	-16.732450065505
0.070799998939037	-16.653578528736
0.070849999785423	-16.577355891361
0.070900000631809	-16.503733523589
0.070950001478195	-16.432665718709
0.071000002324581	-16.364106073911
0.071050003170967	-16.298010885143
0.071099996566772	-16.234332713290
0.071149997413158	-16.173031628796
0.071199998259544	-16.114060175513
0.071249999105930	-16.057380353092
0.071299999952316	-16.002950434360
0.071350000798702	-15.950731201742
0.071400001645088	-15.900684757998
0.071450002491474	-15.852775656456
0.071500003337860	-15.806969085672
0.071549996733665	-15.763230192425
0.071599997580051	-15.721530763448
0.071649998426437	-15.681839154302
0.071699999272823	-15.644129352462
0.071750000119209	-15.608374173820
0.071800000965595	-15.574551769544
0.071850001811981	-15.542638136912
0.071900002658367	-15.512612710479
0.071950003504753	-15.484458781608
0.071999996900558	-15.458159956934
0.072049997746944	-15.433702155666
0.072099998593330	-15.411072711692
0.072149999439716	-15.390260001951
0.072200000286102	-15.371255450752
0.072250001132488	-15.354051660621
0.072300001978874	-15.338640032502
0.072350002825260	-15.325021630572
0.072400003671646	-15.313185547927
0.072449997067451	-15.303134462023
